2026-03-07 16:45:17,422 | INFO | Laserflix | Scan 'simple': 31 produtos | pastas escaneadas: 0
2026-03-07 16:45:17,423 | INFO | Laserflix | Encontrados: 31 produtos
2026-03-07 16:45:17,424 | INFO | Laserflix | 🔍 Duplicatas encontradas: 0 grupos, 0 projetos afetados
2026-03-07 16:45:17,424 | INFO | Laserflix | 🔍 Verificação: 15 existentes + 31 escaneados = 46 total
2026-03-07 16:45:17,428 | INFO | Laserflix | ✅ Nenhuma duplicata encontrada
2026-03-07 16:45:17,428 | INFO | Laserflix | Novos: 31 | Existentes: 0
2026-03-07 16:45:17,538 | INFO | Laserflix | ImportPreviewDialog: 31 novos, 0 existentes
2026-03-07 16:45:19,287 | INFO | Laserflix | ImportPreviewDialog: confirmado
2026-03-07 16:45:19,367 | INFO | Laserflix | Iniciando import de 31 produtos em thread
2026-03-07 16:45:19,369 | INFO | Laserflix | Import concluído: 31 ok | 0 falha
2026-03-07 16:45:20,938 | INFO | Laserflix | 🤖 Iniciando análise SEQUENCIAL de 31 produtos
2026-03-07 16:45:20,940 | INFO | Laserflix | 📊 ETAPA 1/2: Analisando categorias e tags...
2026-03-07 16:45:20,975 | INFO | Laserflix | 📊 [quality] brilho=199.7 sat=25.3 fundo_branco~37.0% → vision=True
2026-03-07 16:45:25,058 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,059 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Christmas-Ornament-Svg-72018522, usando fallback completo
2026-03-07 16:45:25,126 | INFO | Laserflix | 📊 [quality] brilho=213.4 sat=67.2 fundo_branco~54.1% → vision=False
2026-03-07 16:45:25,127 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Bundle-Laser-Cutting-131661114-1-1-580x387.jpg (brilho=213.4 sat=67.2 fundo~54.1%)
2026-03-07 16:45:25,129 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
2026-03-07 16:45:25,130 | INFO | Laserflix | 🔄 Ollama indisponível para Babys-First-Year-Photo-Frame-131586525, usando fallback completo
2026-03-07 16:45:25,165 | INFO | Laserflix | 📊 [quality] brilho=215.2 sat=42.6 fundo_branco~40.5% → vision=False
2026-03-07 16:45:25,165 | INFO | Laserflix | ⚠️ Visão desativada para Babys-First-Year-Photo-Frame-Laser-Cut-Graphics-122536244-1-1-580x387.jpg (brilho=215.2 sat=42.6 fundo~40.5%)
2026-03-07 16:45:25,166 | WARNING | Laserflix | ⚠️ Ollama indisponível. Usando fallback.
